text,target
is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,0
@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,0
my whole body feels itchy and like its on fire ,0
"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. ",0
@Kwesidei not the whole crew ,0
Need a hug ,0
"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?",0
@Tatiana_K nope they didn't have it ,0
@twittera que me muera ? ,0
spring break in plain city... it's snowing ,0
text,target
im meeting up with one of my besties tonight! Cant wait!!  - GIRL TALK!!,4
"@DaRealSunisaKim Thanks for the Twitter add, Sunisa! I got to meet you once at a HIN show here in the DC area and you were a sweetheart. ",4
"Being sick can be really cheap when it hurts too much to eat real food  Plus, your friends make you soup",4
@LovesBrooklyn2 he has that effect on everyone ,4
@ProductOfFear You can tell him that I just burst out laughing really loud because of that  Thanks for making me come out of my sulk!,4
@r_keith_hill Thans for your response. Ihad already find this answer ,4
"@KeepinUpWKris I am so jealous, hope you had a great time in vegas! how did you like the ACM's?! LOVE YOUR SHOW!! ",4
"@tommcfly ah, congrats mr fletcher for finally joining twitter ",4
@e4VoIP I RESPONDED  Stupid cat is helping me type. Forgive errors ,4
crazy day of school. there for 10 hours straiiight. about to watch the hills. @spencerpratt told me too! ha. happy birthday JB! ,4
